Game_ID,Club_Name
714,Leverkusen
714,RB Leipzig
715,Stuttgart
715,Augsburg
716,Bochum
716,Wolfsburg
717,Ein Frankfurt
717,Dortmund
718,M'gladbach
718,Union Berlin
719,Schalke 04
719,Freiburg
720,Hoffenheim
720,FC Koln
721,M'gladbach
721,Stuttgart
722,Ein Frankfurt
722,Augsburg
723,Dortmund
723,Bochum
724,Bayern Munich
724,Hertha
725,Hoffenheim
725,RB Leipzig
726,Wolfsburg
726,Mainz
727,Werder Bremen
727,Schalke 04
728,Union Berlin
728,Leverkusen
729,Freiburg
729,FC Koln
730,Dortmund
730,Wolfsburg
731,Bayern Munich
731,Werder Bremen
732,M'gladbach
732,Bochum
733,Hertha
733,Stuttgart
734,FC Koln
734,Leverkusen
735,Hoffenheim
735,Ein Frankfurt
736,RB Leipzig
736,Freiburg
737,Mainz
737,Schalke 04
738,Union Berlin
738,Augsburg
739,Dortmund
739,M'gladbach
740,Augsburg
740,Bochum
741,FC Koln
741,Hertha
742,Hoffenheim
742,Wolfsburg
743,Stuttgart
743,Leverkusen
744,Werder Bremen
744,RB Leipzig
745,Bayern Munich
745,Schalke 04
746,Mainz
746,Ein Frankfurt
747,Union Berlin
747,Freiburg
748,RB Leipzig
748,Bayern Munich
749,Hertha
749,Bochum
750,Ein Frankfurt
750,Schalke 04
751,Mainz
751,Stuttgart
752,Union Berlin
752,Hoffenheim
753,Freiburg
753,Wolfsburg
754,FC Koln
754,Werder Bremen
755,Augsburg
755,Dortmund
756,M'gladbach
756,Leverkusen
757,RB Leipzig
757,Schalke 04
758,Bayern Munich
758,FC Koln
759,Wolfsburg
759,Hertha
760,Hoffenheim
760,Stuttgart
761,Dortmund
761,Mainz
762,Augsburg
762,M'gladbach
763,Ein Frankfurt
763,Freiburg
764,Leverkusen
764,Bochum
765,Werder Bremen
765,Union Berlin
766,Stuttgart
766,RB Leipzig
767,Freiburg
767,Augsburg
768,Union Berlin
768,Hertha
769,Hoffenheim
769,M'gladbach
770,Bochum
770,Mainz
771,Werder Bremen
771,Wolfsburg
772,Ein Frankfurt
772,Bayern Munich
773,FC Koln
773,Schalke 04
774,Leverkusen
774,Dortmund
775,Augsburg
775,Leverkusen
776,Hoffenheim
776,Bochum
777,Dortmund
777,Freiburg
778,Hertha
778,Ein Frankfurt
779,FC Koln
779,RB Leipzig
780,Mainz
